text,label
يعني مابغى اقول مابغى اقول انها its doable يجي الامير يقول its doable يزيد ومافيه مانع ترا تتزاد بس يعني بس خل نبدا بهذي خل نبتدي بهذي بس السؤال ابو فيصل من وين بتجيبونها يعني هذي ميتين مليار سنويا,1
نبتدي فال,1
يعني بادر كانوا رهيبين صراحة يا سلام فنفس اليوم مكتب واو دخلت,0
so we went all the way up لل للملك ففعليا الاعضاء صوتوا ضد ضد صوت الرئيس والمحافظ ضد قرار yeah ومشى هذا,0
ارسلنا له خطاب رسمي من المحامي,1
ال العقد,1
وقعنا معاه master agreement لكل urth cafe من ال,0
الخطوط السعودية,0
وش هال calculator حقتك,0
almost خمسة,0
وبدينا كل شيء قلنا له طيب ترا بس للمعلومية الموضوع واحد اثنين ثلاثة,1
اء يعني خلنا نقول احس انه,0
فا هذي برضو,0
بس طيب وين ال it,0
شيء جدا جدا,0
موضوع جلسة العوائل وجلسة ال ال singles,1
وجبت يعني جبت الاسماء كاملة والملفات and everything,1
في مو بالحالي فيه كذا شخص يتكلمون على انه,0
رحنا نبا نبيعه لاحد الزباين,1
ال ايش بس فال back of house فالمنطقة المطبخ,1
ااء shareholder بعد حكومة المملكة العربية,0
اء ما داومت فيه tell you,0
مثال واحد اللي هو كان,0
السعوديين عقودهم خمس ايام الان وش صرنا نسوي,1
كا pop up,0
اء يعني خلنا نقول امكانيات,0
سنا سنابل و سنابل و stv في series b ok طبعا هي لها قصة,0
وبيعطينا نكون اقرب للفرص للرقابة عليها,1
نلاقي كثير من المطاعم للاسف,0
ماشين بخساير من اول سنة قلبنا الخساير لارباح بعدين دبلنا والسنة اللي بعدها كمان صار زيادة كبيرة,1
فترة الموسم فترة,0
موسم الرياض وموسم جدة كيف كانت التجربة ةموسم جدة كان جدا ممتاز,1
ايش هي ال pros ال cons الاشياء اللي نسويها الاشياء اللي ما نسويها هذا رقم واحد,1
تروح في امريكا تحس نفس انت ولا حاجة بالنسبة لهم وفعلا كنت في هال في هال course,1
سا كانت قصة عجيبة وهذي كانت شرارة ال real banding ايوه لمن تواصلنا معاه على جدة قلنا له انت وقعت في جدة,1
هنا اللي انا تعرفت تعرفت عليه وقلت له انا عندي application loyalty و points وتطلب لكل فروع الليوان اللي عندك,1
كان قلة دراية العميل بال,0
اء مركو الملك عبدالله المالي اء one of the,0
managment investment committee كانت الاول برئاستي بشكل كامل الان بعد ما صار فيه نائبين,1
لازم يكون فيه عندك زي عدسة zoom,1
